Location,2022,2023,2024
Aachen,5950,6285,7130
Augsburg,5140,4895,5440
Berlin,50495,55780,60355
Bielefeld,4215,4155,4670
Bochum,7525,6400,6760
Bonn,4170,3825,3955
Braunschweig,3020,2960,3035
Bremen,7955,8665,9780
Chemnitz,5490,5505,7340
Cologne,17665,13280,14200
Dortmund,7910,8405,9425
Dresden,7840,8070,8445
Duisburg,6030,6370,6835
Düsseldorf,10900,9795,9485
Erfurt,2765,2480,2790
Essen,5690,7020,8525
Frankfurt,7770,7545,8400
Freiburg im Breisgau,2715,2560,2920
Gelsenkirchen,2325,2730,3215
Halle (Saale),4940,2940,3230
Hamburg,28645,29640,31155
Hanover,19470,15600,16835
Karlsruhe,4425,3800,4425
Kassel,7465,7990,9225
Kiel,2710,3115,3475
Krefeld,2810,2980,3350
Leipzig,10435,9765,10150
Lübeck,2320,1685,2680
Magdeburg,4305,3680,4040
Mainz,2285,2275,2455
Mannheim,4085,3555,3930
Munich,22410,13515,17035
Mönchengladbach,3205,2930,3490
Münster,3170,3120,3135
Nuremberg,9675,9375,9835
Oberhausen,3300,3300,3510
Rostock,3040,2925,3160
Stuttgart,8815,5490,7210
Wiesbaden,4035,4000,4450
Wuppertal,5745,5095,5710
